,frame,image_id,colony_area,cell_count,cell_area,cell_length,medium
304,24,983,36165.94949257549,77,26595.5,2651.0163947284263,Acetate-MOPS
305,25,983,40741.45252593327,88,30243.5,2993.909754663895,Acetate-MOPS
306,26,983,46127.89691966341,106,33915.0,3410.064970066693,Acetate-MOPS
307,27,983,52044.072216146975,120,38077.5,3855.818010503144,Acetate-MOPS
308,28,983,60161.42725744535,135,43034.0,4376.324567306695,Acetate-MOPS
309,29,983,67210.19893638778,145,48674.0,4941.4358178802095,Acetate-MOPS
310,30,983,76307.0065056383,166,55610.0,5622.208006963381,Acetate-MOPS
311,31,983,87415.74793556516,192,63706.0,6407.676694780795,Acetate-MOPS
312,32,983,100140.37009979117,227,73343.5,7352.439712053291,Acetate-MOPS
313,33,983,113379.009022132,255,84891.5,8427.70202463462,Acetate-MOPS
314,34,983,128565.00527839515,281,95860.5,9542.340519370058,Acetate-MOPS
315,35,983,144722.57251280692,321,107159.5,10861.351150163327,Acetate-MOPS
316,36,983,163583.29129898208,360,120596.0,12305.203738927674,Acetate-MOPS
317,37,983,186915.47211886503,429,141953.0,14259.218585511799,Acetate-MOPS
318,38,983,210412.16740624496,498,159992.0,16345.751037052027,Acetate-MOPS
319,39,983,239076.3318018684,555,183605.5,18676.60367947274,Acetate-MOPS
320,0,984,1976.549529344776,3,1860.0,721.4874142438852,Acetate-MOPS
321,1,984,2002.5447882321905,3,1899.0,726.4789048711234,Acetate-MOPS
322,2,984,950.1267070557224,2,886.0,79.6391058678335,Acetate-MOPS
323,3,984,2372.7844923723032,4,2151.5,746.2339391958202,Acetate-MOPS
324,4,984,1408.5675025522942,4,1197.0,109.83064588723151,Acetate-MOPS
325,5,984,1598.9064856590703,4,1346.5,123.8805003761621,Acetate-MOPS
326,6,984,1771.3462737912196,4,1474.0,135.44595031192733,Acetate-MOPS
327,7,984,1969.7844753111715,4,1622.5,145.90830311821298,Acetate-MOPS
328,8,984,1986.0743623542369,5,1740.5,163.14214666648107,Acetate-MOPS
329,9,984,2344.3581300281803,6,1967.5,183.02892045967212,Acetate-MOPS
330,10,984,3252.954220399301,9,2787.5,504.8536673274752,Acetate-MOPS
331,11,984,2927.5608102859696,8,2496.5,277.95136365563343,Acetate-MOPS
332,12,984,3077.6774649196304,7,2627.5,255.3110616678095,Acetate-MOPS
333,13,984,3836.005555557669,8,3293.0,487.89179561384964,Acetate-MOPS
334,14,984,3971.940073133621,8,3211.5,305.6079457806542,Acetate-MOPS
335,15,984,4874.600404160214,11,3754.0,355.94937389242125,Acetate-MOPS
336,16,984,6503.00856355407,13,5285.5,1000.9928742592239,Acetate-MOPS
337,17,984,7186.7149751050365,16,5871.5,1062.9920793369888,Acetate-MOPS
338,18,984,6655.6596958832815,16,5167.5,496.51917228568743,Acetate-MOPS
339,19,984,8307.21926587387,20,6310.0,804.4085456390637,Acetate-MOPS
340,20,984,8894.658604279963,21,6820.0,780.7033750439381,Acetate-MOPS
341,21,984,9508.237859128518,22,7366.5,823.4314495023191,Acetate-MOPS
342,22,984,11340.546105932575,23,8922.0,1288.5902115547278,Acetate-MOPS
343,23,984,11951.48212324139,26,9130.0,1020.8041849244953,Acetate-MOPS
344,24,984,13364.993158614509,31,10192.5,1101.7982231362255,Acetate-MOPS
345,25,984,14673.021018983532,32,11555.0,1346.2679920661546,Acetate-MOPS
346,26,984,16855.15660808228,37,13051.0,1496.2409706642634,Acetate-MOPS
347,27,984,18491.227574468736,41,14107.0,1385.791943910898,Acetate-MOPS
348,28,984,20629.98060420112,46,15519.0,1496.9647530558404,Acetate-MOPS
349,29,984,24038.68955482207,51,18196.5,2044.8724673412628,Acetate-MOPS
